cargo,empresa,link,localizacao
Estagiário(a) de Estatística - Maxpar,Autoglass Estágio,https://br.indeed.com/rc/clk?jk=c407d74b80ed6eaf&bb=Y2GCY_0xl6sgs792NLyCzV3Gc00UHWQeco41iPtDfH9smMhQ-tykP8jtQ0YD5hC9pjomoQbqgQYkVl4ZxCdWjRLFtFeANeMIfjFjwWFF51osTN5Sgu7sTFzqQYqrCmCl&xkcb=SoCC67M3_oqZPoQoBh0LbzkdCdPP&fccid=f5fd0087cce0b7ee&vjs=3,"Vila Velha, ES"
Estagiário(a) de Ciência de Dados - Maxpar,Autoglass Estágio,https://br.indeed.com/rc/clk?jk=82b8d34b41e5f576&bb=Y2GCY_0xl6sgs792NLyCzZx8sVvGNutB5Gk9jYlf4yl4Sk_nf1khYWDbwUhbbopNsV0JkVZWw8OIjFrfNZs29b5oXLM_4POkomDnFk9QEQbMRiMWwgmN_AVnxMgLw94V&xkcb=SoA267M3_oqZPoQoBh0KbzkdCdPP&fccid=f5fd0087cce0b7ee&vjs=3,"Vila Velha, ES"
